date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:20:22	93468/93468	---MCZ	200	added ('OK')	text/html	etag:%22283e11e8c2fe4d916370dd43404422ae-ssl-df%22	https://medash.netlify.app/html/index-hos-dashboard	C:/Users/Orange/Desktop/Template/Duha/medash.netlify.app/html/index-hos-dashboard.html	(from )
10:20:22	1450/1450	---MCZ	404	error ('Not%20Found')	text/html	etag:1676124573-ssl-df	https://medash.netlify.app/robots.txt		(from )
10:20:22	947/947	---M--	200	added ('OK')	image/png	etag:%2211e4522e1ee057fbb4ba3b9c1e19e97f-ssl%22	https://medash.netlify.app/assets/images/favicon.png	C:/Users/Orange/Desktop/Template/Duha/medash.netlify.app/assets/images/favicon.png	(from https://medash.netlify.app/html/index-hos-dashboard)
10:20:23	3900/3900	---M--	200	added ('OK')	image/png	etag:%2220ec1b98910ffa4c3441655ee26badb6-ssl%22	https://medash.netlify.app/assets/images/apple-touch-icon-57-precomposed.png	C:/Users/Orange/Desktop/Template/Duha/medash.netlify.app/assets/images/apple-touch-icon-57-precomposed.png	(from https://medash.netlify.app/html/index-hos-dashboard)
10:20:24	11305/11305	---M--	200	added ('OK')	image/png	etag:%22c9c8158cc76f5899c6a4b15753def0cb-ssl%22	https://medash.netlify.app/assets/images/apple-touch-icon-114-precomposed.png	C:/Users/Orange/Desktop/Template/Duha/medash.netlify.app/assets/images/apple-touch-icon-114-precomposed.png	(from https://medash.netlify.app/html/index-hos-dashboard)
10:20:24	5185/5185	---M--	200	added ('OK')	image/png	etag:%22d11e85d116d26b6f9c8f312a5a1ad6de-ssl%22	https://medash.netlify.app/assets/images/apple-touch-icon-72-precomposed.png	C:/Users/Orange/Desktop/Template/Duha/medash.netlify.app/assets/images/apple-touch-icon-72-precomposed.png	(from https://medash.netlify.app/html/index-hos-dashboard)
10:20:25	11016/11016	---M--	200	added ('OK')	image/png	etag:%22b4f813f7e860c37b9c28774054d0118f-ssl%22	https://medash.netlify.app/assets/images/apple-touch-icon-144-precomposed.png	C:/Users/Orange/Desktop/Template/Duha/medash.netlify.app/assets/images/apple-touch-icon-144-precomposed.png	(from https://medash.netlify.app/html/index-hos-dashboard)
10:20:25	2161/2161	---M-Z	200	added ('OK')	text/css	etag:%22c9c46440148810a619fcabfcdd625e80-ssl-df%22	https://medash.netlify.app/assets/plugins/pace/pace-theme-flash.css	C:/Users/Orange/Desktop/Template/Duha/medash.netlify.app/assets/plugins/pace/pace-theme-flash.css	(from https://medash.netlify.app/html/index-hos-dashboard)
10:20:26	121260/121260	---MCZ	200	added ('OK')	text/css	etag:%22adf16b29af3c978887830c5bb8b6f8b3-ssl-df%22	https://medash.netlify.app/assets/plugins/bootstrap/css/bootstrap.min.css	C:/Users/Orange/Desktop/Template/Duha/medash.netlify.app/assets/plugins/bootstrap/css/bootstrap.min.css	(from https://medash.netlify.app/html/index-hos-dashboard)
10:20:26	23409/23409	---MCZ	200	added ('OK')	text/css	etag:%22b3824b400ab5eb5747a0428d7ed25e1a-ssl-df%22	https://medash.netlify.app/assets/plugins/bootstrap/css/bootstrap-theme.min.css	C:/Users/Orange/Desktop/Template/Duha/medash.netlify.app/assets/plugins/bootstrap/css/bootstrap-theme.min.css	(from https://medash.netlify.app/html/index-hos-dashboard)
